lodate,value
1987-01-02,100.000000
1987-01-05,99.995396
1987-01-07,97.372708
1987-01-08,94.347547
1987-01-09,91.587499
1987-01-12,92.093390
1987-01-13,92.874835
1987-01-14,92.726953
1987-01-15,91.558857
1987-01-16,89.919345
1987-01-19,92.728066
1987-01-20,93.754517
1987-01-21,94.431141
1987-01-22,93.899572
1987-01-23,93.781168
1987-01-26,93.041344
1987-01-27,92.506607
1987-01-28,90.185743
1987-01-29,91.485861
1987-01-30,93.622858
1987-02-02,94.610600
1987-02-03,95.874439
1987-02-04,95.697418
1987-02-05,97.252629
1987-02-06,98.579127
1987-02-09,96.522538
1987-02-10,94.981109
1987-02-11,96.191498
1987-02-12,96.223347
1987-02-13,96.541422
1987-02-16,97.002040
1987-02-17,96.646789
1987-02-18,96.605008
1987-02-19,97.331645
1987-02-20,97.838302
1987-02-23,97.401513
1987-02-24,97.402609
1987-02-25,97.833383
1987-02-26,98.273026
1987-02-27,98.287046
1987-03-02,98.170612
1987-03-03,98.569448
1987-03-04,100.662093
1987-03-05,101.358148
1987-03-06,101.233793
1987-03-09,100.622097
1987-03-10,101.082826
1987-03-11,101.195407
1987-03-12,100.667483
1987-03-13,100.304462
1987-03-16,100.373036
1987-03-17,101.016040
1987-03-18,101.308032
1987-03-19,101.155165
1987-03-20,101.088783
1987-03-23,101.087324
1987-03-24,101.801641
1987-03-25,101.951934
1987-03-26,101.699829
1987-03-27,102.418335
1987-03-30,103.738060
1987-03-31,103.654361
1987-04-01,103.530572
1987-04-02,104.074800
1987-04-03,104.502503
1987-04-06,104.456860
1987-04-07,104.066771
1987-04-08,103.349292
1987-04-09,103.303250
1987-04-10,102.429413
1987-04-13,101.958915
1987-04-14,100.617940
1987-04-15,101.435634
1987-04-16,101.996867
1987-04-21,100.503617
1987-04-22,100.904413
1987-04-23,102.248657
1987-04-24,102.906773
1987-04-27,101.907694
1987-04-28,102.890325
1987-04-29,102.408270
1987-04-30,101.586822
1987-05-04,101.042389
1987-05-05,100.637750
1987-05-06,101.145894
1987-05-07,101.377174
1987-05-08,100.937283
1987-05-11,98.857842
1987-05-12,97.995787
1987-05-13,97.626685
1987-05-14,97.078375
1987-05-15,96.086007
1987-05-18,93.264506
1987-05-19,95.231123
1987-05-20,94.124662
1987-05-21,95.438567
1987-05-22,96.284853
1987-05-25,95.725688
1987-05-26,96.367518
1987-05-27,97.065491
1987-05-29,95.669027
1987-06-01,92.785098
1987-06-02,93.713620
1987-06-03,94.995823
1987-06-04,95.984615
1987-06-05,96.304643
1987-06-09,96.648581
1987-06-10,96.902220
1987-06-11,96.588696
1987-06-12,97.426483
1987-06-15,98.301719
1987-06-16,98.451309
1987-06-17,100.569514
1987-06-18,100.414910
1987-06-22,99.222484
1987-06-23,99.541561
