date,value
1987-01-02,100.000000
1987-01-05,99.995793
1987-01-07,97.373491
1987-01-08,94.348692
1987-01-09,91.588985
1987-01-12,92.095248
1987-01-13,92.877074
1987-01-14,92.729557
1987-01-15,91.561797
1987-01-16,89.922595
1987-01-19,92.731774
1987-01-20,93.758634
1987-01-21,94.435660
1987-01-22,93.904441
1987-01-23,93.786403
1987-01-26,93.046910
1987-01-27,92.512510
1987-01-28,90.191865
1987-01-29,91.492429
1987-01-30,93.629943
1987-02-02,94.618131
1987-02-03,95.882446
1987-02-04,95.705790
1987-02-05,97.261517
1987-02-06,98.588523
1987-02-09,96.532129
1987-02-10,94.990930
1987-02-11,96.201821
1987-02-12,96.234055
1987-02-13,96.552548
1987-02-16,97.013602
1987-02-17,96.658694
1987-02-18,96.617290
1987-02-19,97.344403
1987-02-20,97.851513
1987-02-23,97.415053
1987-02-24,97.416536
1987-02-25,97.847758
1987-02-26,98.287854
1987-02-27,98.302266
1987-03-02,98.186204
1987-03-03,98.585494
1987-03-04,100.678870
1987-03-05,101.375441
1987-03-06,101.251467
1987-03-09,100.640066
1987-03-10,101.101277
1987-03-11,101.214280
1987-03-12,100.686659
1987-03-13,100.323968
1987-03-16,100.392953
1987-03-17,101.036484
1987-03-18,101.328935
1987-03-19,101.176439
1987-03-20,101.110445
1987-03-23,101.109386
1987-03-24,101.824260
1987-03-25,101.974991
1987-03-26,101.723234
1987-03-27,102.442308
1987-03-30,103.762749
1987-03-31,103.679442
1987-04-01,103.556035
1987-04-02,104.100807
1987-04-03,104.529030
1987-04-06,104.483790
1987-04-07,104.094016
1987-04-08,103.376761
1987-04-09,103.331118
1987-04-10,102.457455
1987-04-13,101.987235
1987-04-14,100.646292
1987-04-15,101.464616
1987-04-16,102.026412
1987-04-21,100.533134
1987-04-22,100.934447
1987-04-23,102.279491
1987-04-24,102.938212
1987-04-27,101.939236
1987-04-28,102.922576
1987-04-29,102.440778
1987-04-30,101.619475
1987-05-04,101.075271
1987-05-05,100.670901
1987-05-06,101.179612
1987-05-07,101.411371
1987-05-08,100.971734
1987-05-11,98.891984
1987-05-12,98.030024
1987-05-13,97.661181
1987-05-14,97.113066
1987-05-15,96.120728
1987-05-18,93.298589
1987-05-19,95.266294
1987-05-20,94.159803
1987-05-21,95.474572
1987-05-22,96.321557
1987-05-25,95.762561
1987-05-26,96.405018
1987-05-27,97.103645
1987-05-29,95.707018
1987-06-01,92.822323
1987-06-02,93.751586
1987-06-03,95.034680
1987-06-04,96.024254
1987-06-05,96.344795
1987-06-09,96.689259
1987-06-10,96.943388
1987-06-11,96.630116
1987-06-12,97.468645
1987-06-15,98.344647
1987-06-16,98.494693
1987-06-17,100.614222
1987-06-18,100.459949
1987-06-22,99.267386
1987-06-23,99.587002
1987-06-24,99.221856
1987-06-25,99.427532
1987-06-26,100.012812
1987-06-29,101.034389
1987-06-30,101.494498
1987-07-01,100.937033
1987-07-02,101.509290
1987-07-03,102.077084
1987-07-06,102.485710
1987-07-07,101.834746
1987-07-08,101.853812
1987-07-09,100.612164
1987-07-10,100.617128
1987-07-13,99.976560
1987-07-14,99.572024
1987-07-15,100.135287
1987-07-16,100.175233
1987-07-17,100.150622
1987-07-20,98.067722
1987-07-21,98.467634
1987-07-22,98.097739
1987-07-23,97.599951
1987-07-24,97.461606
1987-07-27,96.789295
1987-07-28,98.061316
1987-07-29,98.482461
1987-07-30,98.636701
1987-07-31,97.861772
1987-08-03,97.602410
1987-08-04,97.964210
1987-08-05,98.827735
1987-08-06,98.229828
1987-08-07,97.593569
1987-08-10,97.116859
1987-08-11,97.530926
1987-08-12,97.422514
1987-08-13,97.680934
1987-08-14,98.510954
1987-08-17,99.679954
1987-08-18,100.004066
1987-08-19,99.402482
1987-08-20,99.175958
1987-08-21,98.777353
1987-08-24,99.243484
1987-08-25,99.925641
1987-08-26,99.290348
1987-08-27,98.677466
1987-08-28,98.405487
1987-08-31,97.319238
1987-09-01,97.225084
1987-09-02,96.667837
1987-09-03,97.848805
1987-09-04,98.101357
1987-09-07,97.728759
1987-09-08,97.843398
1987-09-09,97.400032
1987-09-10,97.917051
1987-09-11,97.858796
1987-09-14,97.821657
1987-09-15,98.499612
1987-09-16,99.192700
1987-09-17,99.536481
1987-09-18,99.990889
1987-09-21,100.085841
1987-09-22,100.695350
1987-09-23,100.583952
1987-09-24,100.027451
1987-09-25,99.791049
1987-09-28,99.947229
1987-09-29,99.970010
1987-09-30,99.917572
1987-10-01,100.016088
1987-10-02,99.876736
1987-10-05,99.488290
1987-10-06,99.185784
1987-10-07,99.219612
1987-10-08,99.371779
1987-10-09,98.786595
1987-10-12,98.724588
1987-10-13,99.117997
1987-10-14,99.251989
1987-10-15,98.678990
1987-10-16,98.423875
1987-10-19,97.785550
1987-10-20,99.783137
1987-10-21,100.074393
1987-10-22,100.442815
1987-10-23,101.477977
1987-10-26,102.559944
1987-10-27,102.384629
1987-10-28,102.638081
1987-10-29,105.892148
1987-10-30,104.754684
1987-11-02,103.290688
1987-11-03,102.500337
1987-11-04,104.305197
1987-11-05,106.304081
1987-11-06,106.908003
1987-11-09,107.595895
1987-11-10,106.696029
1987-11-11,105.630475
1987-11-12,106.695187
1987-11-13,105.927202
1987-11-16,105.556754
1987-11-17,105.391533
1987-11-18,106.208678
1987-11-19,105.675512
1987-11-20,106.007690
1987-11-23,105.724014
1987-11-24,106.508659
1987-11-25,106.114266
1987-11-26,105.406619
1987-11-27,104.800266
1987-11-30,104.185050
1987-12-01,104.484293
1987-12-02,104.512071
1987-12-03,105.495497
1987-12-04,105.148790
1987-12-07,104.798233
1987-12-08,104.795032
1987-12-09,105.240887
1987-12-10,104.743534
1987-12-11,104.488274
1987-12-14,104.522963
1987-12-15,104.865494
1987-12-16,104.945608
1987-12-17,105.939729
1987-12-18,105.819724
1987-12-21,106.107027
1987-12-22,106.107510
1987-12-23,106.330526
1987-12-28,106.312547
1987-12-29,106.542870
1987-12-30,106.623973
1988-01-04,106.072584
1988-01-05,106.845982
1988-01-07,107.339922
1988-01-08,106.649765
1988-01-11,105.558470
1988-01-12,105.783703
1988-01-13,105.252873
1988-01-14,105.013290
1988-01-15,106.171568
1988-01-18,106.148348
